Category,Skills
web developer,"azure, html, express, performance optimization, kubernetes, django, vercel, invision, wordpress, ci/cd"
software engineer,"distributed systems, jenkins, vue.js, real-time operating systems, kubernetes, java"
data analyst,"a/b testing, data cleansing, seaborn, pandas, excel, customer insights, r, azure, data collection, data pipeline"
network engineer,"packet loss, network topology, cisco ccie, tcp/ip, palo alto networks, vpn, cloud networking, data center networking, firewalls, network redundancy"
artificial intelligence,"machine learning operations (mlops), spark, ai in iot, r, deep learning, lightgbm, reinforcement learning"
iot developer,"fog computing, device connectivity, nb-iot, microcontrollers, iot hardware, arduino, firmware development, sensor networks, ai in iot"
artificial intelligence,"model deployment, ai in iot, ai algorithms, computer vision algorithms, data mining, natural language understanding (nlu), speech recognition"
backend developer,"oauth2, application security, c#, apache kafka, graphql apis, express.js, test automation, java"
artificial intelligence,"data mining, graph neural networks (gnn), bayesian inference, machine learning, matplotlib"
cloud engineer,"k8s, aws ec2, cloud disaster recovery, cloud infrastructure, cloud native, cloud integration"
network engineer,"scripting, network troubleshooting, network virtualization, firewall configuration, tcp optimization, dhcp"
information technology,"load balancing, managed services, o365 administration, tcp/ip, javascript, business continuity"
machine learning,"data engineering, automl, transfer learning, convolutional neural networks (cnn), support vector machines (svm), linear regression, r, model evaluation, apache spark"
cyber security,"zero trust architecture, burp suite, redhat security, network security, apt"
backend developer,"ci/cd pipeline, apache, microservices architecture, event-driven architecture, aws, google cloud, redis streams, distributed caching, oauth, distributed systems"
ui/ux designer,"product design, ui design, agile, prototyping tools, persona development, market research, trello, ux/ui accessibility"
network engineer,"ssl vpn, f5 networks, dhcp, cloud networking, cisco ccie, junos, network hardware"
iot developer,"iot sensors, embedded software, sensor networks, real-time systems, sensors, iot application development, wireless communication, python, ai integration in iot, fpga"
information technology,"file management, cloud security, javascript, aws s3, cloud deployment, sql server"
web developer,"aws, express.js, python, cross-browser compatibility, node.js, bootstrap"
database developer,"data structures, sql injection prevention, data replication, data analytics, aws redshift, data analysis, python, db2, sql reporting"
artificial intelligence,"seaborn, unsupervised learning, ai optimization, xgboost, mlflow"
database developer,"etl, xml, db2, data analysis, mysql, spark, database backup, sharding, java"
data analyst,"statistics, kaggle, sql reporting, data governance, data strategy"
network engineer,"azure networking, network management, linux, ipv6, remote access networks, dns, cisco ccnp, cisco asa"
ui/ux designer,"design software, user flows, javascript, ui animation, customer experience, color theory, illustrator, agile, prototyping tools, responsive design"
iot developer,"java, data mining, iot device management, edge data processing, communication protocols, real-time systems"
cloud engineer,"devops, cloud security, bash, cloud testing, monitoring tools, python"
database developer,"aws redshift, dynamodb, database clustering, cloud databases, oracle, json, mongodb, data storage solutions, data replication"
software engineer,"cloudformation, blockchain, tensorflow, docker, confluence, selenium, spark, kubernetes, distributed systems, raspberry pi"
database developer,"acid transactions, data warehousing, database optimization, sql, database scripting"
machine learning,"ai models, docker, data visualization, artificial intelligence, statistical modeling, random forest, text mining, model optimization"
web developer,"jquery, firebase, node.js, git, oauth, es6, ux/ui design, seo"
database developer,"mongodb, data migration, db2, acid transactions, data structures, data privacy"
full stack developer,"web development, c#, ui/ux design, nosql, unit testing, svelte, css3, angular, ci/cd"
ui/ux designer,"user research, design systems, accessibility standards, mobile app design, ux/ui accessibility, prototype testing, information architecture, ux analytics, css flexbox"
artificial intelligence,"natural language processing, logistic regression, automl, ai for finance, aws, ai productization, ai for business intelligence, natural language understanding (nlu), python"
network engineer,"network troubleshooting tools, cisco, network load balancing, bgp routing, network testing, lan/wan"
machine learning,"transfer learning, time series forecasting, lightgbm, dimensionality reduction, pandas, model interpretability, gradient boosting, data science, clustering"
artificial intelligence,"bayesian inference, ai model deployment, data visualization, supervised learning, support vector machines (svm), ai model interpretability"
cyber security,"compliance, windows security, cryptography, siem integration, soc analyst, authorization"
database developer,"database partitioning, database performance, olap, data analytics, graph databases, data migration, nosql databases"
backend developer,"jenkins, github, restful web services, distributed systems, c#, go, java, database design"
software engineer,"spring boot, monitoring, embedded linux, ethical hacking, c#, etl"
data scientist,"unsupervised learning, sql queries, data modeling, seaborn, data analysis, time series analysis, statistical modeling, svm, statistics, jupyter notebooks"
big data engineer,"aws redshift, elasticsearch, cloud data solutions, docker, azure"
machine learning,"big data machine learning, hyperparameter tuning, r, logistic regression, convolutional neural networks (cnn), knn, artificial intelligence, data cleaning"
information technology,"incident management, python, mysql, postgresql, nginx, firewall configuration"
